YearMade;WallType;RoofType;NumOfBedrooms;StovenFuelType;HeatingEquipmentType;HeatingEquipmentAge;NumOfRoomsHeated;FuelUsedForWaterHeating;WaterHeaterSize;AirConditioning;NumOfRoomsCooled;NumOfWindows;TotalSquareHeated;TotalSquareCooled;ElectricityConsumption
2004;Brick;Composition Shingles;4;Electricity;Central Warm-Air Furnace;5-9 Years old;9;Electricity;Large;ИСТИНА;9;41;3958;3958;18466
1998;Wood;Wood Shingles;3;Natural Gas;Central Warm-Air Furnace;10-14 Years old;4;Natural Gas;Large;ИСТИНА;4;41;2736;2736;5148
1965;Brick;;1;Natural Gas;Steam or Hot Water System;2-4 Years old;2;Natural Gas;Large;ИСТИНА;-1;20;528;264;2218
1985;Stone;Composition Shingles;3;-;Central Warm-Air Furnace;5-9 Years old;7;Electricity;Large;ИСТИНА;7;41;1623;1623;10015
1983;Wood;Composition Shingles;2;Electricity;Central Warm-Air Furnace;<2 Years old;5;Natural Gas;Medium;ЛОЖЬ;-1;30;1274;0;2869
1920;Stucco;Asphalt;3;Natural Gas;Central Warm-Air Furnace;10-14 Years old;6;Natural Gas;Medium;ИСТИНА;3;30;3485;1538;6387
1922;Siding;Asphalt;4;Natural Gas;Steam or Hot Water System;15-19 Years old;7;Natural Gas;Medium;ИСТИНА;7;50;2296;1938;11821
1975;Concrete;Asphalt;3;Electricity;Heat Pump;5-9 Years old;6;Electricity;Medium;ИСТИНА;6;20;1952;1952;22928
1920;Wood;Composition Shingles;3;Natural Gas;Heat Pump;<2 Years old;7;Electricity;Medium;ИСТИНА;7;42;1117;1117;9130
1955;Siding;Asphalt;3;Electricity;Central Warm-Air Furnace;10-14 Years old;7;Natural Gas;Small;ИСТИНА;6;41;1365;1170;7474
1950;Brick;Ceramic or Clay Tiles;2;Natural Gas;Built-In Room Heater;10-14 Years old;1;Natural Gas;Medium;ЛОЖЬ;-1;20;244;0;2750
1968;Wood;Asphalt;3;Natural Gas;Central Warm-Air Furnace;10-14 Years old;7;Natural Gas;Large;ИСТИНА;7;50;1935;1456;11807
1950;Wood;Composition Shingles;3;Electricity;;Not Applicable;-2;Electricity;Medium;ЛОЖЬ;-1;42;0;0;9775
